year,naics_4,dmarkup
2012,332613,.0041196346
2013,332613,-.000022053719
2014,332613,.068240643
2015,332613,.014814496
2001,332912,-.011917949
2002,332912,-.072812915
2003,332912,.061310172
2004,332912,.021705389
2005,332912,.014152169
2006,332912,.0070095062
2007,332912,.013677955
2008,332912,.0047341585
2009,332912,-.01708889
2010,332912,.019412637
2011,332912,.016896844
2012,332912,-.0038752556
2013,332912,-.012869716
2014,332912,.023080826
2015,332912,.010361314
2001,332913,-.043042183
2002,332913,.028115034
2003,332913,-.018606901
2004,332913,-.00054478645
2005,332913,-.047629595
2006,332913,-.018373251
2007,332913,-.0030571222
2008,332913,-.042504787
2009,332913,.031006932
2010,332913,-.023773313
2011,332913,-.0025098324
2012,332913,.0076465607
2013,332913,.03769207
2014,332913,.0060501099
2015,332913,.057701707
2001,332919,-.030806184
2002,332919,.007448554
2003,332919,-.016244888
2004,332919,.0435853
2005,332919,-.018273473
2006,332919,-.0034903288
2007,332919,-.026509523
2008,332919,.0014978647
2009,332919,.065863132
2010,332919,.017516255
2011,332919,-.0058323145
2012,332919,-.013668418
2013,332919,-.0026028156
2014,332919,-.0033166409
2015,332919,.058553219
2001,332991,-.023707628
2002,332991,-.0042691231
2003,332991,-.027599692
2004,332991,.018221498
2005,332991,.0030889511
2006,332991,.010266662
2007,332991,.011201143
2008,332991,-.0038797855
2009,332991,-.036358953
2010,332991,.099299669
2011,332991,.0055291653
2012,332991,-.013157487
2013,332991,-.018877625
2014,332991,.020719528
2015,332991,-.019723773
2001,332993,.011142492
2002,332993,.011135101
2003,332993,-.016450763
2004,332993,-.023180485
2005,332993,-.0053941011
2006,332993,.00083887577
2007,332993,.013954043
2008,332993,.017465234
2009,332993,.0065586567
2010,332993,-.010718107
2011,332993,.0097484589
2012,332993,.0071338415
2013,332993,.038825274
2014,332993,-.03079772
2015,332993,-.022625327
2001,333111,-.019426107
2002,333111,-.014966726
2003,333111,-.0047259331
2004,333111,.018216491
2005,333111,-.0016483068
2006,333111,.031646729
2007,333111,.010335326
2008,333111,-.015792847
2009,333111,-.010545969
2010,333111,.033984303
2011,333111,-.01353395
2012,333111,-.026906133
2013,333111,.024978161
2014,333111,-.013746619
2015,333111,-.0034023523
2001,333120,-.0096861124
2002,333120,.0024803877
2003,333120,-.013760328
2004,333120,-.020031214
2005,333120,.0090330839
2006,333120,.033913136
2007,333120,-.0033925772
2008,333120,-.064706683
2009,333120,.037496448
2010,333120,.038361907
2011,333120,.0002695322
2012,333120,.012329817
2013,333120,-.0031379461
2014,333120,.026670933
2015,333120,.019030809
2001,333131,-.067103148
2002,333131,.059399486
2003,333131,.030653358
2004,333131,.031537652
2005,333131,.042157292
2006,333131,.037788749
2007,333131,.010319591
2008,333131,-.015145183
2009,333131,.028270841
2010,333131,.0060095787
2011,333131,.072775602
2012,333131,.0088171959
2013,333131,-.03491962
2014,333131,-.039804339
2015,333131,-.046730042
2001,333132,.031058669
2002,333132,-.011987686
2003,333132,-.016492367
2004,333132,.023462892
2005,333132,-.012395859
2006,333132,.059847116
2007,333132,.011125565
2008,333132,.0031280518
2009,333132,.0027890205
2010,333132,.017178297
2011,333132,-.022833586
2012,333132,-.025122762
2013,333132,-.007271409
2014,333132,.034775257
2015,333132,-.025362492
2001,333413,-.028481841
2002,333413,.0002938509
2003,333413,.014122128
2004,333413,.0069639683
2005,333413,-.0063263178
2006,333413,-.0035287142
2007,333413,-.0023456812
2008,333413,.042064667
2009,333413,.0016312599
2010,333413,.035868287
2011,333413,.016083479
2012,333413,.0027396679
2013,333413,-.015817285
2014,333413,.019516349
2015,333413,-.0083618164
